tau	PRB	PRP	PRPD
TRINITY_DN250892_c1_g2	1	0	0	1
TRINITY_DN250905_c0_g2	1	0	0	1
TRINITY_DN250964_c0_g2	1	0	0	1
TRINITY_DN250974_c0_g1	1	0	0	1
TRINITY_DN250974_c0_g3	1	0	0	1
TRINITY_DN251007_c0_g1	1	0	0	1
TRINITY_DN251079_c0_g1	1	0	0	1
TRINITY_DN251127_c0_g1	1	0	0	1
TRINITY_DN251135_c0_g2	1	0	0	1
TRINITY_DN251186_c2_g2	1	0	0	1
TRINITY_DN251222_c0_g1	1	0	0	1
TRINITY_DN251231_c0_g1	1	0	0	1
TRINITY_DN251255_c0_g1	1	0	0	1
TRINITY_DN251259_c0_g2	1	0	0	1
TRINITY_DN251265_c0_g1	1	0	0	1
TRINITY_DN251265_c0_g3	1	0	0	1
TRINITY_DN251274_c0_g1	1	0	0	1
TRINITY_DN251287_c1_g1	1	0	0	1
TRINITY_DN251296_c0_g1	1	0	0	1
TRINITY_DN251304_c0_g1	1	0	0	1
TRINITY_DN251351_c0_g1	1	0	0	1
TRINITY_DN251360_c0_g1	1	0	0	1
TRINITY_DN251373_c0_g1	1	0	0	1
TRINITY_DN251378_c0_g1	1	0	0	1
TRINITY_DN251398_c1_g2	1	0	0	1
TRINITY_DN251401_c1_g1	1	0	0	1
TRINITY_DN251444_c0_g1	1	0	0	1
TRINITY_DN251472_c0_g1	1	0	0	1
TRINITY_DN251506_c2_g2	1	0	0	1
TRINITY_DN251513_c0_g1	1	0	0	1
TRINITY_DN251521_c1_g2	1	0	0	1
TRINITY_DN251556_c0_g1	1	0	0	1
TRINITY_DN251636_c0_g1	1	0	0	1
TRINITY_DN251650_c1_g2	1	0	0	1
TRINITY_DN251701_c0_g1	1	0	0	1
TRINITY_DN251701_c0_g2	1	0	0	1
TRINITY_DN251707_c1_g1	1	0	0	1
TRINITY_DN251715_c0_g1	1	0	0	1
TRINITY_DN251722_c0_g1	1	0	0	1
TRINITY_DN251741_c0_g1	1	0	0	1
TRINITY_DN251741_c1_g1	1	0	0	1
TRINITY_DN251761_c3_g1	1	0	0	1
TRINITY_DN251770_c1_g1	1	0	0	1
TRINITY_DN251773_c0_g1	1	0	0	1
TRINITY_DN251775_c0_g3	1	0	0	1
TRINITY_DN251775_c0_g5	1	0	0	1
TRINITY_DN251786_c1_g3	1	0	0	1
TRINITY_DN251793_c0_g3	1	0	0	1
TRINITY_DN251799_c0_g1	1	0	0	1
TRINITY_DN251811_c5_g22	1	0	0	1
TRINITY_DN251814_c0_g1	1	0	0	1
TRINITY_DN251858_c0_g1	1	0	0	1
TRINITY_DN251865_c2_g1	1	0	0	1
TRINITY_DN251873_c0_g1	1	0	0	1
TRINITY_DN251894_c0_g1	1	0	0	1
TRINITY_DN251909_c1_g1	1	0	0	1
TRINITY_DN251953_c0_g1	1	0	0	1
TRINITY_DN251953_c0_g2	1	0	0	1
TRINITY_DN251964_c0_g3	1	0	0	1
TRINITY_DN252026_c0_g4	1	0	0	1
TRINITY_DN252040_c0_g1	1	0	0	1
TRINITY_DN252049_c0_g1	1	0	0	1
TRINITY_DN252049_c0_g3	1	0	0	1
TRINITY_DN252065_c0_g3	1	0	0	1
TRINITY_DN252066_c0_g2	1	0	0	1
TRINITY_DN252066_c0_g6	1	0	0	1
TRINITY_DN252074_c0_g1	1	0	0	1
TRINITY_DN252075_c0_g1	1	0	0	1
TRINITY_DN252081_c0_g1	1	0	0	1
TRINITY_DN252087_c0_g1	1	0	0	1
TRINITY_DN252101_c0_g3	1	0	0	1
TRINITY_DN252104_c3_g14	1	0	0	1
TRINITY_DN252104_c3_g17	1	0	0	1
TRINITY_DN252116_c0_g6	1	0	0	1
TRINITY_DN252116_c0_g8	1	0	0	1
TRINITY_DN252119_c0_g2	1	0	0	1
TRINITY_DN252125_c1_g1	1	0	0	1
TRINITY_DN252180_c0_g1	1	0	0	1
TRINITY_DN252192_c1_g3	1	0	0	1
TRINITY_DN252227_c0_g6	1	0	0	1
TRINITY_DN252235_c0_g1	1	0	0	1
TRINITY_DN252271_c0_g1	1	0	0	1
TRINITY_DN252311_c0_g2	1	0	0	1
TRINITY_DN252346_c0_g1	1	0	0	1
TRINITY_DN252358_c0_g1	1	0	0	1
TRINITY_DN252361_c0_g2	1	0	0	1
TRINITY_DN252372_c0_g1	1	0	0	1
TRINITY_DN252387_c1_g3	1	0	0	1
TRINITY_DN252389_c0_g1	1	0	0	1
TRINITY_DN252391_c0_g1	1	0	0	1
