tau	PRB	PRL	PRP	PRPD
TRINITY_DN10263_c0_g1	1	0	1	0	0
TRINITY_DN102633_c0_g1	1	0	1	0	0
TRINITY_DN10264_c0_g1	1	0	1	0	0
TRINITY_DN102642_c0_g1	1	0	1	0	0
TRINITY_DN10265_c0_g1	1	0	1	0	0
TRINITY_DN102653_c0_g1	1	0	1	0	0
TRINITY_DN102654_c0_g1	1	0	1	0	0
TRINITY_DN102655_c0_g1	1	0	1	0	0
TRINITY_DN102658_c0_g1	1	0	1	0	0
TRINITY_DN10266_c0_g1	1	0	1	0	0
TRINITY_DN10267_c1_g1	1	0	1	0	0
TRINITY_DN102676_c0_g1	1	0	1	0	0
TRINITY_DN102678_c0_g1	1	0	1	0	0
TRINITY_DN102688_c1_g1	1	0	1	0	0
TRINITY_DN102691_c0_g1	1	0	1	0	0
TRINITY_DN102692_c0_g1	1	0	1	0	0
TRINITY_DN102702_c1_g1	1	0	1	0	0
TRINITY_DN102708_c0_g1	1	0	1	0	0
TRINITY_DN102712_c0_g1	1	0	1	0	0
TRINITY_DN10272_c0_g1	1	0	1	0	0
TRINITY_DN102722_c0_g1	1	0	1	0	0
TRINITY_DN102724_c0_g1	1	0	1	0	0
TRINITY_DN102737_c0_g1	1	0	1	0	0
TRINITY_DN10274_c0_g1	1	0	1	0	0
TRINITY_DN102744_c0_g1	1	0	1	0	0
TRINITY_DN102746_c0_g1	1	0	1	0	0
TRINITY_DN102751_c0_g1	1	0	1	0	0
TRINITY_DN102761_c0_g1	1	0	1	0	0
TRINITY_DN102771_c0_g1	1	0	1	0	0
TRINITY_DN102776_c0_g1	1	0	1	0	0
TRINITY_DN102778_c0_g1	1	0	1	0	0
TRINITY_DN102778_c1_g1	1	0	1	0	0
TRINITY_DN102781_c0_g1	1	0	1	0	0
TRINITY_DN102784_c0_g1	1	0	1	0	0
TRINITY_DN102788_c0_g1	1	0	1	0	0
TRINITY_DN10279_c0_g1	1	0	1	0	0
TRINITY_DN102797_c0_g1	1	0	1	0	0
TRINITY_DN102800_c0_g1	1	0	1	0	0
TRINITY_DN102814_c0_g1	1	0	1	0	0
TRINITY_DN10282_c0_g1	1	0	1	0	0
TRINITY_DN102820_c1_g1	1	0	1	0	0
TRINITY_DN102830_c0_g1	1	0	1	0	0
TRINITY_DN102831_c0_g1	1	0	1	0	0
TRINITY_DN102835_c0_g2	1	0	1	0	0
TRINITY_DN102838_c0_g1	1	0	1	0	0
TRINITY_DN102839_c0_g1	1	0	1	0	0
TRINITY_DN102857_c0_g1	1	0	1	0	0
TRINITY_DN102864_c0_g1	1	0	1	0	0
TRINITY_DN102865_c0_g1	1	0	1	0	0
TRINITY_DN10287_c0_g1	1	0	1	0	0
TRINITY_DN102872_c0_g1	1	0	1	0	0
TRINITY_DN102873_c0_g1	1	0	1	0	0
TRINITY_DN102886_c0_g1	1	0	1	0	0
TRINITY_DN102891_c0_g1	1	0	1	0	0
TRINITY_DN102898_c0_g1	1	0	1	0	0
TRINITY_DN102899_c0_g1	1	0	1	0	0
TRINITY_DN1029_c0_g1	1	0	1	0	0
