tau	PRB	PRP	PRPD
TRINITY_DN245006_c2_g6	1	1	0	0
TRINITY_DN245006_c2_g7	1	1	0	0
TRINITY_DN245070_c0_g2	1	1	0	0
TRINITY_DN245118_c0_g1	1	1	0	0
TRINITY_DN245152_c0_g1	1	1	0	0
TRINITY_DN245226_c0_g1	1	1	0	0
TRINITY_DN245249_c0_g1	1	1	0	0
TRINITY_DN245269_c0_g3	1	1	0	0
TRINITY_DN245269_c0_g4	1	1	0	0
TRINITY_DN245304_c0_g1	1	1	0	0
TRINITY_DN245310_c1_g4	1	1	0	0
TRINITY_DN245348_c0_g1	1	1	0	0
TRINITY_DN245348_c0_g2	1	1	0	0
TRINITY_DN245391_c0_g1	1	1	0	0
TRINITY_DN245427_c0_g2	1	1	0	0
TRINITY_DN245442_c0_g1	1	1	0	0
TRINITY_DN245449_c60_g12	1	1	0	0
TRINITY_DN245514_c1_g1	1	1	0	0
TRINITY_DN245542_c0_g1	1	1	0	0
TRINITY_DN245587_c0_g1	1	1	0	0
TRINITY_DN245630_c0_g1	1	1	0	0
TRINITY_DN245668_c0_g2	1	1	0	0
TRINITY_DN245672_c0_g1	1	1	0	0
TRINITY_DN245680_c0_g1	1	1	0	0
TRINITY_DN245684_c0_g1	1	1	0	0
TRINITY_DN245753_c1_g1	1	1	0	0
TRINITY_DN245812_c0_g1	1	1	0	0
TRINITY_DN245816_c0_g2	1	1	0	0
TRINITY_DN245855_c0_g1	1	1	0	0
TRINITY_DN245855_c0_g2	1	1	0	0
TRINITY_DN245855_c0_g4	1	1	0	0
TRINITY_DN245919_c0_g1	1	1	0	0
TRINITY_DN245989_c1_g1	1	1	0	0
TRINITY_DN246005_c0_g1	1	1	0	0
TRINITY_DN246046_c0_g1	1	1	0	0
TRINITY_DN246084_c0_g2	1	1	0	0
TRINITY_DN246107_c0_g1	1	1	0	0
TRINITY_DN246115_c0_g1	1	1	0	0
TRINITY_DN246125_c1_g2	1	1	0	0
TRINITY_DN246190_c0_g2	1	1	0	0
TRINITY_DN246218_c0_g1	1	1	0	0
TRINITY_DN246221_c1_g2	1	1	0	0
TRINITY_DN246228_c1_g1	1	1	0	0
TRINITY_DN246251_c0_g1	1	1	0	0
TRINITY_DN246263_c0_g1	1	1	0	0
TRINITY_DN246270_c0_g1	1	1	0	0
TRINITY_DN246283_c1_g1	1	1	0	0
TRINITY_DN246294_c19_g1	1	1	0	0
TRINITY_DN246300_c0_g1	1	1	0	0
TRINITY_DN246430_c0_g1	1	1	0	0
TRINITY_DN246431_c0_g1	1	1	0	0
TRINITY_DN246529_c0_g2	1	1	0	0
TRINITY_DN246547_c0_g1	1	1	0	0
TRINITY_DN246578_c0_g1	1	1	0	0
TRINITY_DN246590_c0_g1	1	1	0	0
TRINITY_DN246656_c0_g1	1	1	0	0
TRINITY_DN246659_c2_g52	1	1	0	0
TRINITY_DN246659_c2_g67	1	1	0	0
TRINITY_DN246667_c2_g1	1	1	0	0
TRINITY_DN246667_c2_g2	1	1	0	0
TRINITY_DN246691_c0_g1	1	1	0	0
TRINITY_DN246706_c59_g74	1	1	0	0
TRINITY_DN246733_c0_g1	1	1	0	0
TRINITY_DN246805_c0_g1	1	1	0	0
TRINITY_DN246815_c0_g1	1	1	0	0
TRINITY_DN246821_c0_g1	1	1	0	0
TRINITY_DN246842_c0_g1	1	1	0	0
TRINITY_DN246847_c0_g2	1	1	0	0
TRINITY_DN246852_c0_g2	1	1	0	0
TRINITY_DN246855_c0_g1	1	1	0	0
TRINITY_DN246901_c0_g1	1	1	0	0
TRINITY_DN246930_c3_g11	1	1	0	0
TRINITY_DN246930_c3_g14	1	1	0	0
TRINITY_DN246930_c3_g2	1	1	0	0
TRINITY_DN246940_c0_g1	1	1	0	0
TRINITY_DN246940_c0_g2	1	1	0	0
TRINITY_DN246940_c0_g3	1	1	0	0
TRINITY_DN246946_c0_g1	1	1	0	0
TRINITY_DN246947_c0_g2	1	1	0	0
TRINITY_DN246971_c0_g1	1	1	0	0
TRINITY_DN246989_c0_g1	1	1	0	0
TRINITY_DN247021_c0_g3	1	1	0	0
TRINITY_DN247072_c0_g2	1	1	0	0
TRINITY_DN247073_c1_g9	1	1	0	0
TRINITY_DN247090_c0_g1	1	1	0	0
TRINITY_DN247159_c0_g2	1	1	0	0
TRINITY_DN247196_c0_g1	1	1	0	0
TRINITY_DN247221_c0_g1	1	1	0	0
TRINITY_DN247227_c0_g3	1	1	0	0
TRINITY_DN247249_c0_g1	1	1	0	0
TRINITY_DN247263_c0_g1	1	1	0	0
TRINITY_DN247300_c0_g1	1	1	0	0
TRINITY_DN247366_c18_g11	1	1	0	0
TRINITY_DN247366_c18_g5	1	1	0	0
TRINITY_DN247366_c18_g6	1	1	0	0
TRINITY_DN247369_c3_g20	1	1	0	0
TRINITY_DN247421_c0_g1	1	1	0	0
TRINITY_DN247435_c0_g1	1	1	0	0
TRINITY_DN247470_c1_g1	1	1	0	0
TRINITY_DN247472_c0_g1	1	1	0	0
TRINITY_DN247489_c0_g1	1	1	0	0
TRINITY_DN247489_c0_g2	1	1	0	0
TRINITY_DN247582_c0_g1	1	1	0	0
TRINITY_DN247625_c0_g1	1	1	0	0
TRINITY_DN247626_c0_g1	1	1	0	0
TRINITY_DN247636_c0_g1	1	1	0	0
TRINITY_DN247637_c1_g1	1	1	0	0
TRINITY_DN247662_c0_g2	1	1	0	0
TRINITY_DN247697_c1_g4	1	1	0	0
TRINITY_DN247752_c1_g1	1	1	0	0
TRINITY_DN247761_c0_g1	1	1	0	0
TRINITY_DN247789_c0_g1	1	1	0	0
TRINITY_DN247793_c0_g2	1	1	0	0
TRINITY_DN247822_c0_g1	1	1	0	0
TRINITY_DN247822_c0_g2	1	1	0	0
TRINITY_DN247822_c0_g3	1	1	0	0
TRINITY_DN247822_c0_g4	1	1	0	0
TRINITY_DN247844_c0_g1	1	1	0	0
TRINITY_DN247851_c0_g1	1	1	0	0
TRINITY_DN247881_c0_g1	1	1	0	0
TRINITY_DN247901_c0_g1	1	1	0	0
TRINITY_DN247901_c0_g2	1	1	0	0
TRINITY_DN247918_c0_g1	1	1	0	0
TRINITY_DN247937_c0_g1	1	1	0	0
TRINITY_DN247946_c0_g1	1	1	0	0
TRINITY_DN247949_c0_g1	1	1	0	0
TRINITY_DN247999_c0_g1	1	1	0	0
TRINITY_DN248041_c0_g5	1	1	0	0
TRINITY_DN248073_c0_g2	1	1	0	0
TRINITY_DN248078_c0_g1	1	1	0	0
TRINITY_DN248097_c0_g3	1	1	0	0
TRINITY_DN248127_c0_g1	1	1	0	0
TRINITY_DN248147_c1_g1	1	1	0	0
TRINITY_DN248147_c1_g2	1	1	0	0
TRINITY_DN248155_c0_g1	1	1	0	0
TRINITY_DN248157_c0_g2	1	1	0	0
TRINITY_DN248160_c0_g1	1	1	0	0
TRINITY_DN248161_c0_g1	1	1	0	0
TRINITY_DN248173_c0_g1	1	1	0	0
TRINITY_DN248173_c0_g6	1	1	0	0
TRINITY_DN248187_c0_g1	1	1	0	0
TRINITY_DN248221_c0_g1	1	1	0	0
TRINITY_DN248234_c0_g1	1	1	0	0
TRINITY_DN248262_c0_g1	1	1	0	0
TRINITY_DN248268_c0_g2	1	1	0	0
TRINITY_DN248272_c0_g2	1	1	0	0
TRINITY_DN248318_c0_g1	1	1	0	0
TRINITY_DN248326_c1_g1	1	1	0	0
TRINITY_DN248326_c2_g1	1	1	0	0
TRINITY_DN248355_c0_g1	1	1	0	0
TRINITY_DN248356_c0_g1	1	1	0	0
TRINITY_DN248363_c3_g1	1	1	0	0
TRINITY_DN248381_c0_g3	1	1	0	0
TRINITY_DN248385_c0_g11	1	1	0	0
TRINITY_DN248391_c0_g1	1	1	0	0
TRINITY_DN248445_c0_g1	1	1	0	0
TRINITY_DN248482_c0_g1	1	1	0	0
TRINITY_DN248489_c0_g1	1	1	0	0
TRINITY_DN248509_c0_g1	1	1	0	0
TRINITY_DN248512_c1_g1	1	1	0	0
TRINITY_DN248558_c0_g2	1	1	0	0
TRINITY_DN248591_c0_g1	1	1	0	0
TRINITY_DN248608_c0_g1	1	1	0	0
TRINITY_DN248641_c0_g1	1	1	0	0
TRINITY_DN248643_c0_g1	1	1	0	0
TRINITY_DN248658_c0_g2	1	1	0	0
TRINITY_DN248664_c0_g1	1	1	0	0
TRINITY_DN248667_c0_g1	1	1	0	0
TRINITY_DN248669_c0_g2	1	1	0	0
TRINITY_DN248677_c0_g1	1	1	0	0
TRINITY_DN248712_c3_g2	1	1	0	0
TRINITY_DN248713_c0_g1	1	1	0	0
TRINITY_DN248749_c1_g1	1	1	0	0
TRINITY_DN248759_c0_g1	1	1	0	0
TRINITY_DN248764_c0_g1	1	1	0	0
TRINITY_DN248769_c0_g1	1	1	0	0
TRINITY_DN248790_c1_g1	1	1	0	0
TRINITY_DN248796_c0_g1	1	1	0	0
TRINITY_DN248804_c0_g2	1	1	0	0
TRINITY_DN248808_c0_g3	1	1	0	0
TRINITY_DN248829_c0_g1	1	1	0	0
TRINITY_DN248847_c0_g1	1	1	0	0
TRINITY_DN248852_c0_g2	1	1	0	0
TRINITY_DN248869_c0_g1	1	1	0	0
TRINITY_DN248869_c0_g2	1	1	0	0
TRINITY_DN248877_c1_g12	1	1	0	0
TRINITY_DN248877_c1_g13	1	1	0	0
TRINITY_DN248902_c0_g1	1	1	0	0
TRINITY_DN248908_c0_g3	1	1	0	0
TRINITY_DN248912_c0_g1	1	1	0	0
TRINITY_DN248941_c0_g2	1	1	0	0
TRINITY_DN248951_c0_g9	1	1	0	0
